zip,city
10005,STOCKHOLM
10012,STOCKHOLM
10026,STOCKHOLM
10027,STOCKHOLM
10028,STOCKHOLM
10029,STOCKHOLM
10031,STOCKHOLM
10040,STOCKHOLM
10041,STOCKHOLM
10044,STOCKHOLM
10052,STOCKHOLM
10054,STOCKHOLM
10055,STOCKHOLM
10061,STOCKHOLM
10064,STOCKHOLM
10073,STOCKHOLM
10074,STOCKHOLM
10101,STOCKHOLM
10110,STOCKHOLM
10120,STOCKHOLM
10121,STOCKHOLM
10122,STOCKHOLM
10123,STOCKHOLM
10124,STOCKHOLM
10125,STOCKHOLM
10126,STOCKHOLM
10127,STOCKHOLM
10128,STOCKHOLM
10129,STOCKHOLM
10130,STOCKHOLM
10131,STOCKHOLM
10132,STOCKHOLM
10133,STOCKHOLM
10134,STOCKHOLM
10135,STOCKHOLM
10136,STOCKHOLM
10137,STOCKHOLM
10138,STOCKHOLM
10139,STOCKHOLM
10153,STOCKHOLM
10154,STOCKHOLM
10155,STOCKHOLM
10156,STOCKHOLM
10158,STOCKHOLM
10159,STOCKHOLM
10204,STOCKHOLM
10214,STOCKHOLM
10215,STOCKHOLM
10216,STOCKHOLM
10217,STOCKHOLM
10220,STOCKHOLM
10221,STOCKHOLM
10222,STOCKHOLM
10223,STOCKHOLM
10224,STOCKHOLM
10225,STOCKHOLM
10226,STOCKHOLM
10227,STOCKHOLM
10228,STOCKHOLM
10229,STOCKHOLM
10230,STOCKHOLM
10231,STOCKHOLM
10232,STOCKHOLM
10233,STOCKHOLM
10234,STOCKHOLM
10235,STOCKHOLM
10239,STOCKHOLM
10240,STOCKHOLM
10241,STOCKHOLM
10242,STOCKHOLM
10243,STOCKHOLM
10244,STOCKHOLM
10245,STOCKHOLM
10246,STOCKHOLM
10247,STOCKHOLM
10248,STOCKHOLM
10249,STOCKHOLM
10250,STOCKHOLM
10251,STOCKHOLM
10252,STOCKHOLM
10253,STOCKHOLM
10254,STOCKHOLM
10260,STOCKHOLM
10261,STOCKHOLM
10262,STOCKHOLM
10263,STOCKHOLM
10264,STOCKHOLM
10265,STOCKHOLM
10266,STOCKHOLM
10267,STOCKHOLM
10268,STOCKHOLM
10269,STOCKHOLM
10270,STOCKHOLM
10271,STOCKHOLM
10272,STOCKHOLM
10273,STOCKHOLM
10274,STOCKHOLM
10301,STOCKHOLM
10302,STOCKHOLM
10303,STOCKHOLM
10310,STOCKHOLM
10311,STOCKHOLM
10312,STOCKHOLM
10313,STOCKHOLM
10314,STOCKHOLM
10315,STOCKHOLM
10316,STOCKHOLM
10317,STOCKHOLM
10318,STOCKHOLM
10320,STOCKHOLM
10321,STOCKHOLM
10322,STOCKHOLM
10323,STOCKHOLM
10324,STOCKHOLM
10325,STOCKHOLM
10326,STOCKHOLM
10327,STOCKHOLM
10329,STOCKHOLM
10332,STOCKHOLM
10333,STOCKHOLM
10334,STOCKHOLM
10335,STOCKHOLM
10336,STOCKHOLM
10337,STOCKHOLM
10338,STOCKHOLM
10339,STOCKHOLM
10351,STOCKHOLM
10352,STOCKHOLM
10354,STOCKHOLM
10355,STOCKHOLM
10359,STOCKHOLM
10360,STOCKHOLM
10361,STOCKHOLM
10362,STOCKHOLM
10363,STOCKHOLM
10364,STOCKHOLM
10365,STOCKHOLM
10366,STOCKHOLM
10367,STOCKHOLM
10368,STOCKHOLM
10369,STOCKHOLM
10370,STOCKHOLM
10371,STOCKHOLM
10372,STOCKHOLM
10373,STOCKHOLM
10374,STOCKHOLM
10375,STOCKHOLM
10376,STOCKHOLM
10377,STOCKHOLM
10378,STOCKHOLM
10380,STOCKHOLM
10382,STOCKHOLM
10383,STOCKHOLM
10384,STOCKHOLM
10385,STOCKHOLM
10386,STOCKHOLM
10387,STOCKHOLM
10388,STOCKHOLM
10389,STOCKHOLM
10390,STOCKHOLM
10391,STOCKHOLM
10392,STOCKHOLM
10393,STOCKHOLM
10394,STOCKHOLM
10395,STOCKHOLM
10396,STOCKHOLM
10397,STOCKHOLM
10398,STOCKHOLM
10399,STOCKHOLM
10405,STOCKHOLM
10420,STOCKHOLM
10422,STOCKHOLM
10425,STOCKHOLM
10430,STOCKHOLM
10431,STOCKHOLM
10432,STOCKHOLM
10435,STOCKHOLM
10440,STOCKHOLM
10441,STOCKHOLM
10450,STOCKHOLM
10451,STOCKHOLM
10455,STOCKHOLM
10460,STOCKHOLM
10462,STOCKHOLM
10465,STOCKHOLM
10500,STOCKHOLM
10504,SOLNA
10506,STOCKHOLM
10507,STOCKHOLM
10510,STOCKHOLM
10511,STOCKHOLM
10512,STOCKHOLM
10515,STOCKHOLM
10516,STOCKHOLM
10517,STOCKHOLM
10518,STOCKHOLM
10519,STOCKHOLM
10520,STOCKHOLM
10521,STOCKHOLM
10522,STOCKHOLM
10523,STOCKHOLM
10524,STOCKHOLM
10525,STOCKHOLM
10531,STOCKHOLM
10532,STOCKHOLM
10533,STOCKHOLM
10534,STOCKHOLM
10535,STOCKHOLM
10536,STOCKHOLM
10539,STOCKHOLM
10540,STOCKHOLM
10544,STOCKHOLM
10545,STOCKHOLM
10546,STOCKHOLM
